threads,    master,     atomics,    mara-atomics,   mara-pthread,
1,          32155832,   16155520,   16114756,       16174488,
5,          32155968,   16157768,   16190240,       16164908,
20,         32156156,   16160848,   16226172,       16173148,
60,         32156400,   16169712,   16231804,       16184608,
