threads,    master, atomics,    mara-atomics,   mara-pthread,   master-memory,  atomics-memory, mara-atomics-memory,    mara-pthread-memory
1,          70,     253,        181,            153,            32155832,       16155520,       16114756,               16174488
5,          70,     100,        43,             45,             32155968,       16157768,       16190240,               16164908
20,         71,     73,         15,             17,             32156156,       16160848,       16226172,               16173148
60,         70,     1561,       46,             12,             32156400,       16169712,       16231804,               16184608
